,basy_zyzd_jbbm_for_str_4,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-4-4-E,JCJY-4-4-E,YP-4-4-E,ZFY-4-4-E,记录条数-4-4
39,A04.,6,,309.2590476190476,1938.438095238095,1095.6414285714286,4518.581428571428,21
74,A08.,6,,278.1432608695652,1689.786304347826,609.0254347826087,3943.8552173913044,46
92,A09.,2,,460.44,820.1380952380953,1376.822380952381,3963.5157142857142,21
96,A09.,3,,304.6773214285714,902.5642857142857,1209.9596428571429,3602.5369642857145,56
107,A09.,5,,304.63608695652175,2004.131884057971,1203.6021739130435,4805.426956521739,69
121,A09.,6,,328.5905673758865,2627.1879432624114,2075.360921985816,7227.530425531915,141
123,A09.,6,17.9,349.18,1284.5773333333334,859.2476666666666,3817.161666666667,30
129,A09.,6,44.1,444.1122727272727,4013.6809090909087,2151.137272727273,8662.11681818182,22
131,A09.,6,45.2,453.30061224489793,3808.2602040816328,1884.941836734694,8280.650408163265,49
157,A15.,3,,428.97526315789474,2355.184210526316,2622.9844736842106,8161.723947368421,38
172,A15.,5,,376.0614864864865,3192.4305405405403,3111.515945945946,9945.038783783784,74
176,A15.,5,33.2,483.7803947368421,3383.7555263157897,2068.4572368421054,8747.271842105263,76
190,A15.,6,,437.2053153153153,4697.838306306306,4668.710342342342,13524.063351351351,555
199,A15.,6,32.0,668.4271428571428,6908.028571428572,4381.0257142857145,19537.195714285714,21
200,A15.,6,32.2,15022.139799999999,6683.8362,4821.1476,38218.7586,50
202,A15.,6,32.4,23893.92161290323,7647.1941935483865,9518.131612903226,58284.8764516129,31
203,A15.,6,33.2,607.1261631016042,6058.561524064171,4004.6833155080217,14374.613796791442,748
208,A15.,6,34.0,1641.6941176470589,7306.95505882353,6889.244588235295,23730.488705882355,85
209,A15.,6,34.2,929.4345070422534,5985.421549295775,1819.1894366197184,13516.608873239436,71
211,A15.,6,34.9,1168.1881578947368,5479.758684210526,3808.1686842105264,13941.720789473684,38
233,A15.,6,93.9,846.3863636363636,6548.554999999999,5208.649545454546,20400.238181818182,22
247,A16.,3,,432.59170212765963,3965.3599999999997,3167.987234042553,12898.698297872343,94
253,A16.,3,34.9,431.59000000000003,2619.0637931034485,1895.5672413793102,7176.192068965517,29
268,A16.,5,,363.5786567164179,3582.5507462686564,3455.3387313432836,11156.503208955224,134
276,A16.,5,33.2,446.26986577181214,3500.664765100671,1949.8173825503354,8785.69610738255,149
279,A16.,5,34.0,587.5084507042253,3432.0332394366196,1501.5888732394367,8176.398028169015,71
281,A16.,5,34.9,467.4977631578948,3690.1980263157893,2253.9101315789476,9589.78802631579,76
298,A16.,6,,442.7663636363637,4181.501388429751,3498.8544628099175,11515.659752066116,605
299,A16.,6,03.3,1312.695,7437.858125,6372.6425,21348.665625,32
308,A16.,6,32.2,15533.484999999999,7243.300384615384,6887.467307692307,42563.175,26
310,A16.,6,32.4,32612.02676470588,8803.604411764705,17467.424411764707,76555.26088235294,34
313,A16.,6,33.2,514.5555704697987,6358.849720357942,3351.5563310961966,13446.262427293064,894
318,A16.,6,34.0,1482.0820608108108,5889.371824324325,4881.464256756756,17842.85476351351,296
319,A16.,6,34.2,950.92776,5959.561519999999,1947.2179199999998,13073.71552,125
323,A16.,6,34.9,969.2263926940639,5460.806803652968,3092.969269406393,12996.958584474887,219
326,A16.,6,39.7,7608.402571428572,7205.081428571429,6803.889428571429,32262.43657142857,35
381,A17.,6,03.3,1197.3279005524862,9367.730828729282,8308.449999999999,26701.38320441989,181
495,A18.,6,,646.8859740259741,5118.651103896104,3562.8911038961037,12156.663181818181,154
511,A18.,6,33.2,881.0185714285715,9507.475714285714,5581.203428571428,21232.850857142857,35
522,A18.,6,40.1,693.1928846153846,3948.796346153846,1230.829230769231,8059.488269230769,52
523,A18.,6,40.2,1412.6117441860465,5244.798139534884,3452.5565116279067,15755.547790697676,86
541,A18.,6,54.2,1847.0434615384615,7028.413846153847,3757.170384615384,18683.101153846153,26
545,A18.,6,54.9,1398.7932692307693,6944.317307692308,4009.1913461538466,17183.734038461538,52
550,A18.,6,55.5,5548.732222222223,4666.287222222222,3733.185,28090.926666666666,36
578,A18.,6,77.6,25150.40180722892,9013.630602409638,9789.480963855422,61882.91144578314,83
587,A18.,6,80.8,7864.113170731707,7221.414146341463,7813.429512195122,35394.23292682927,41
589,A18.,6,81.0,30221.358591549295,9432.174929577466,7057.057464788732,78898.29732394367,71
616,A19.,6,,478.838125,5041.038541666667,3992.8016666666663,13404.831458333334,48
617,A19.,6,03.3,790.674347826087,9880.537391304348,9187.341304347827,26823.65891304348,46
620,A19.,6,33.2,635.3123529411764,11079.207647058824,9080.237647058824,27150.74882352941,34
683,A37.,6,,300.2333653846154,1464.491923076923,2447.2716346153848,7464.57048076923,104
694,A37.,6,93.9,414.8878260869565,2530.8521739130433,1356.1873913043478,7629.124782608696,23
707,A40.,6,,485.83181818181816,4941.052727272728,4417.136818181818,13052.123636363634,22
727,A41.,1,,389.5812903225807,1540.9096774193547,2596.824193548387,8536.017419354837,31
736,A41.,2,,340.385,3753.96,4560.179999999999,12774.147333333332,30
752,A41.,3,,576.5280128205128,4102.747948717949,4489.915,12967.2125,156
758,A41.,3,38.9,1544.4048,9267.6462,9458.6164,32836.232,50
775,A41.,3,57.9,747.6555172413792,5225.849999999999,7245.646896551724,21848.097241379313,29
785,A41.,3,93.9,771.4255555555554,4645.075555555556,6812.11962962963,21113.681481481482,27
789,A41.,3,96.0,1233.8429166666667,6532.391666666666,7659.305,25179.86375,24
791,A41.,3,96.7,2263.4825925925925,10058.267777777777,11231.11074074074,37293.33851851852,27
797,A41.,4,,586.1733333333333,4425.67125,4100.576666666667,13148.993333333334,24
816,A41.,4,96.7,2664.124166666667,12504.977916666665,14330.532083333334,45914.2125,24
821,A41.,5,,402.2033333333333,4205.698539944904,3842.652534435262,12254.058457300274,363
831,A41.,5,38.9,1372.660430107527,7791.387741935483,8412.842473118279,25926.78731182796,93
858,A41.,5,57.9,626.5406779661017,6724.135254237288,6064.115762711865,20209.34881355932,59
859,A41.,5,59.8,2136.1974468085104,6616.248510638297,4671.1757446808515,18963.475319148936,47
885,A41.,5,93.9,862.8043010752689,6857.629462365592,6322.160107526882,19891.203655913978,93
886,A41.,5,96.0,1489.4445283018867,7728.880188679245,11947.801698113208,31860.74396226415,53
889,A41.,5,96.7,3110.870652173913,10313.102898550724,11424.21268115942,38113.80920289855,138
899,A41.,6,,535.6175116744497,5295.622901934624,4878.222908605737,14478.810060040027,1499
906,A41.,6,03.3,1142.8319285714285,8754.394714285714,8223.76692857143,24559.107428571428,140
913,A41.,6,17.9,537.3166666666666,4169.285512820513,4708.195641025641,13028.940384615384,78
925,A41.,6,33.2,1269.998306010929,13101.8987431694,14027.945355191257,40229.312786885246,183
927,A41.,6,34.0,2080.36225,12975.781500000001,12359.26725,37558.8525,40
930,A41.,6,34.9,1887.3079545454545,14614.941136363637,15691.801818181819,44051.101136363635,44
934,A41.,6,38.9,2129.650476190476,11822.239375000001,10730.257589285713,34670.24613095238,336
939,A41.,6,39.9,5652.812244897959,15582.618265306124,15149.529387755103,53872.547448979596,98
942,A41.,6,41.3,1173.103488372093,12375.686395348837,14309.209302325582,37005.80976744186,86
946,A41.,6,44.1,611.3117647058824,7935.119117647058,6369.106470588235,19087.555882352943,34
950,A41.,6,45.1,888.2540909090909,7523.645454545455,8122.768636363637,21181.201363636363,22
959,A41.,6,47.0,3677.3996153846156,6107.1023076923075,4844.383461538461,25167.73576923077,26
968,A41.,6,50.9,3924.9315217391304,13186.992391304348,16139.145,45897.24673913044,46
982,A41.,6,54.9,2642.8033333333337,10642.106666666667,15549.740333333333,40099.34283333333,60
988,A41.,6,56.0,5247.622903225806,6715.42806451613,7276.147096774193,28530.55193548387,31
995,A41.,6,57.9,1879.1758064516127,12384.967096774193,9532.92072580645,33114.80298387097,124
