,basy_zyzd_jbbm_for_str_4,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-4-4-E,JCJY-4-4-E,YP-4-4-E,ZFY-4-4-E,记录条数-4-4
12,A02.,3,,92.92583333333333,1574.295,1772.7854166666666,4712.779583333334,24
14,A02.,5,,88.55615384615385,1068.0353846153846,599.8261538461538,2679.2353846153846,26
21,A02.,6,,137.62439024390244,2400.354512195122,1196.6608536585366,4979.138048780488,82
48,A03.,3,,73.93694214876034,748.5921487603305,681.5763636363637,2485.544214876033,121
56,A03.,5,,59.196363636363635,1179.4969696969697,604.6812121212121,2702.3342424242423,33
72,A04.,3,,86.73233333333333,890.812,567.4823333333334,2321.1818333333335,60
83,A04.,5,,53.93991666666667,978.327,562.1093333333333,2214.5049999999997,120
92,A04.,6,,95.61374301675978,1247.9715083798883,552.3237430167597,2707.7312290502796,179
114,A04.,6,99.2,163.49115384615382,1148.955,405.74115384615385,2449.1926923076926,26
135,A08.,2,,58.70520547945205,677.8275342465754,285.43,1533.297397260274,73
138,A08.,2,99.8,66.57571428571428,508.33035714285717,634.3303571428571,1756.142142857143,56
139,A08.,3,,51.5318689788054,587.3719845857418,264.1877263969171,1443.921387283237,519
148,A08.,4,,85.58999999999999,702.3333333333334,283.4745454545455,1889.2615151515151,33
149,A08.,5,,51.56133868808568,614.6222222222223,290.2315394912985,1569.4397724230255,747
150,A08.,5,17.9,27.24695652173913,583.1739130434783,191.45782608695652,1434.1830434782607,23
165,A08.,6,,68.1499604743083,828.6200592885375,294.03311264822133,1865.954634387352,1012
167,A08.,6,17.9,134.23379310344828,611.7431034482759,365.0653448275862,1951.9953448275862,58
169,A08.,6,38.9,344.34478260869565,2495.4834782608696,2037.9269565217394,8796.961739130435,23
176,A08.,6,88.7,79.93034482758621,1079.7655172413793,283.6289655172414,2195.593793103448,29
179,A08.,6,89.5,109.21736842105264,1219.9763157894736,297.98368421052635,2511.920526315789,38
182,A08.,6,93.3,92.06526315789473,1185.9175187969925,761.8985714285714,3104.6695488721803,133
183,A08.,6,93.9,172.99565217391304,1474.9956521739132,599.7886956521739,3329.8634782608697,23
187,A09.,1,,61.012317596566525,890.7150214592275,1468.0062660944207,3466.747725321888,233
198,A09.,2,,46.01856401384083,1032.809186851211,900.155553633218,2505.5803806228373,578
213,A09.,3,,51.83318544366899,867.9008374875374,572.1511415752741,2118.442362911266,2006
