,basy_zyzd_jbbm_for_str_3,basy_yydj,basy_ssjczbm1_for_str_3,HAOCAI-3-3-E,JCJY-3-3-E,YP-3-3-E,ZFY-3-3-E,记录条数-3-3
35,A04,6,,309.2590476190476,1938.438095238095,1095.6414285714286,4518.581428571428,21
65,A08,6,,278.1432608695652,1689.786304347826,609.0254347826087,3943.8552173913044,46
79,A09,2,,460.44,820.1380952380953,1376.822380952381,3963.5157142857142,21
83,A09,3,,304.6773214285714,902.5642857142857,1209.9596428571429,3602.5369642857145,56
93,A09,5,,304.63608695652175,2004.131884057971,1203.6021739130435,4805.426956521739,69
105,A09,6,,328.5905673758865,2627.1879432624114,2075.360921985816,7227.530425531915,141
107,A09,6,17.,349.18,1284.5773333333334,859.2476666666666,3817.161666666667,30
113,A09,6,44.,444.1122727272727,4013.6809090909087,2151.137272727273,8662.11681818182,22
114,A09,6,45.,584.424328358209,4100.682835820896,2347.801791044776,9540.129402985076,67
131,A15,3,,428.97526315789474,2355.184210526316,2622.9844736842106,8161.723947368421,38
142,A15,5,,376.0614864864865,3192.4305405405403,3111.515945945946,9945.038783783784,74
144,A15,5,33.,483.7803947368421,3383.7555263157897,2068.4572368421054,8747.271842105263,76
145,A15,5,34.,476.02882352941174,3414.75,1812.7764705882353,8471.467352941178,34
155,A15,6,,437.2053153153153,4697.838306306306,4668.710342342342,13524.063351351351,555
162,A15,6,32.,14703.062564102565,6951.222991452991,5931.092307692308,39804.3741025641,117
163,A15,6,33.,672.1361589403973,6065.6580397351,4011.7970463576157,14466.606370860927,755
164,A15,6,34.,1461.0887939698491,6427.168040201005,4459.500201005026,18329.781959798995,199
182,A15,6,93.,846.3863636363636,6548.554999999999,5208.649545454546,20400.238181818182,22
192,A16,3,,432.59170212765963,3965.3599999999997,3167.987234042553,12898.698297872343,94
195,A16,3,34.,535.336511627907,2618.1432558139536,1836.134418604651,7245.001162790697,43
209,A16,5,,363.5786567164179,3582.5507462686564,3455.3387313432836,11156.503208955224,134
214,A16,5,33.,449.0267549668874,3518.9440397350995,1972.9543046357614,8854.950331125829,151
215,A16,5,34.,547.9307051282051,3606.587884615384,1886.1308974358974,9049.133012820514,156
229,A16,6,,442.7663636363637,4181.501388429751,3498.8544628099175,11515.659752066116,605
230,A16,6,03.,1312.695,7437.858125,6372.6425,21348.665625,32
236,A16,6,32.,21339.739462365593,7653.5092473118275,11579.515591397849,54421.84774193548,93
237,A16,6,33.,549.2118701870187,6339.630748074807,3353.7809680968094,13490.379493949396,909
238,A16,6,34.,1331.6818195718654,5755.289816513761,3801.363470948012,15667.577951070338,654
241,A16,6,39.,7136.375263157895,7215.795263157894,6379.470263157895,31188.775263157895,38
242,A16,6,40.,1777.1004761904762,6247.334761904762,1777.8185714285714,13392.002857142857,21
280,A17,6,03.,1218.9625806451613,9439.049032258064,8527.368010752687,27044.16612903226,186
288,A17,6,96.,4016.634090909091,14535.647727272728,18773.070909090908,52468.17772727273,22
365,A18,6,,646.8859740259741,5118.651103896104,3562.8911038961037,12156.663181818181,154
375,A18,6,33.,881.0185714285715,9507.475714285714,5581.203428571428,21232.850857142857,35
376,A18,6,34.,1207.869090909091,7469.098787878788,6278.2039393939385,21300.041515151515,33
377,A18,6,37.,3654.509130434783,12112.460000000001,6433.752608695652,31543.96,23
380,A18,6,40.,1292.5981528662421,4582.70923566879,2502.8143949044584,12717.5674522293,157
390,A18,6,54.,1703.688275862069,6722.621609195402,4163.810344827586,18173.733103448278,87
391,A18,6,55.,4822.436530612245,4165.586530612245,3248.976530612245,23865.857959183675,49
402,A18,6,77.,21981.816122448978,8681.480408163265,8794.908571428572,55825.53867346939,98
403,A18,6,78.,25690.68142857143,6941.331904761905,9145.83857142857,54300.572380952384,21
404,A18,6,80.,10253.949285714287,6680.001785714286,6862.316785714285,36965.12642857143,56
405,A18,6,81.,29535.59743243243,9249.388378378379,7021.771216216216,77299.71783783784,74
409,A18,6,86.,1535.6578125,5052.7875,3488.6296875,15452.2359375,32
421,A19,6,,478.838125,5041.038541666667,3992.8016666666663,13404.831458333334,48
422,A19,6,03.,790.674347826087,9880.537391304348,9187.341304347827,26823.65891304348,46
425,A19,6,33.,635.3123529411764,11079.207647058824,9080.237647058824,27150.74882352941,34
426,A19,6,34.,1467.2691666666667,10494.773333333333,12007.596666666666,37534.42875,24
481,A37,6,,300.2333653846154,1464.491923076923,2447.2716346153848,7464.57048076923,104
490,A37,6,93.,411.8825925925926,2409.9222222222224,1387.682962962963,7442.947037037037,27
503,A40,6,,485.83181818181816,4941.052727272728,4417.136818181818,13052.123636363634,22
520,A41,1,,389.5812903225807,1540.9096774193547,2596.824193548387,8536.017419354837,31
529,A41,2,,340.385,3753.96,4560.179999999999,12774.147333333332,30
540,A41,3,,576.5280128205128,4102.747948717949,4489.915,12967.2125,156
544,A41,3,38.,1544.4048,9267.6462,9458.6164,32836.232,50
555,A41,3,57.,794.495,5307.554999999999,7151.378,21805.478,30
561,A41,3,93.,771.4255555555554,4645.075555555556,6812.11962962963,21113.681481481482,27
563,A41,3,96.,1731.4211320754719,8350.125094339623,9330.793018867926,30923.35188679245,53
566,A41,4,,586.1733333333333,4425.67125,4100.576666666667,13148.993333333334,24
581,A41,4,96.,2831.9373333333333,13090.848999999998,14163.152,47473.45933333333,30
584,A41,5,,402.2033333333333,4205.698539944904,3842.652534435262,12254.058457300274,363
590,A41,5,38.,2091.413829787234,8206.787872340425,8837.638085106382,27545.567340425532,94
591,A41,5,39.,5660.768571428572,12256.94619047619,14176.035714285714,49876.51619047619,21
602,A41,5,57.,625.2649180327869,6641.63737704918,5987.183442622951,19913.72704918033,61
603,A41,5,59.,2081.621020408163,6466.309795918367,4557.644081632653,18573.277346938776,49
618,A41,5,93.,830.0796116504854,6684.656699029127,6198.110970873787,19378.238155339805,103
619,A41,5,96.,2616.9775897435898,9519.705897435897,11501.802051282051,36081.02502564102,195
622,A41,5,99.,551.3775757575758,4692.602121212121,4305.7148484848485,15102.664848484848,33
623,A41,6,,535.6175116744497,5295.622901934624,4878.222908605737,14478.810060040027,1499
627,A41,6,03.,1137.9848936170213,8716.923829787234,8193.48914893617,24458.373333333333,141
631,A41,6,17.,604.9135443037975,4182.446455696203,4731.262911392405,13220.4117721519,79
638,A41,6,33.,1392.0643915343915,13455.192962962965,14020.204708994708,41376.10047619048,189
639,A41,6,34.,2036.5301149425286,14112.695057471265,14175.778275862069,41522.26689655172,87
641,A41,6,38.,2415.5605899705015,12039.634011799411,10953.527994100295,35785.878997050146,339
642,A41,6,39.,7237.012589285715,17180.920892857142,16471.407142857144,61538.71142857143,112
644,A41,6,41.,1322.2465909090909,12404.71625,14306.733863636364,37414.15772727272,88
647,A41,6,44.,2681.9607843137255,11231.56980392157,11543.353137254902,36720.6968627451,51
648,A41,6,45.,3867.8863414634147,11116.786829268292,11943.146829268293,37211.668048780484,41
650,A41,6,47.,3594.6262962962965,6186.987407407408,4852.571111111111,25005.131481481483,27
653,A41,6,50.,4196.073773584906,13208.554905660378,17209.978113207548,47340.58132075472,53
654,A41,6,51.,7583.212564102563,16947.457948717947,18881.033333333333,60851.83435897436,39
657,A41,6,54.,3341.695633802817,13137.881830985916,18635.373661971833,51124.56718309859,71
658,A41,6,55.,4328.7132142857145,10230.065,8992.662857142857,34691.61535714286,28
659,A41,6,56.,4999.360555555556,6934.7844444444445,7115.353888888889,28210.764444444445,36
660,A41,6,57.,1859.2984496124031,12424.612558139535,9575.52023255814,33062.86596899225,129
662,A41,6,59.,3419.5788888888887,9047.270972222223,7082.453888888889,26824.907222222224,72
676,A41,6,86.,3082.571463414634,11717.38243902439,12860.952439024391,41220.65512195122,41
677,A41,6,87.,353.18071428571426,3077.296428571429,1713.3692857142855,7242.600714285714,28
678,A41,6,88.,742.6481132075471,5374.518301886792,3922.939056603773,13458.59037735849,53
679,A41,6,89.,587.3616666666667,6497.535,5083.593680555556,17392.743263888886,144
683,A41,6,93.,1020.8913108614231,8013.930074906368,6893.49691011236,22655.9618164794,534
684,A41,6,96.,5027.708705357143,20806.263671875,25915.48171875,76064.84078125001,896
687,A41,6,99.,605.6585458612975,4039.381364653244,4595.148680089485,13241.956219239373,447
700,A46,6,,412.4796875,3210.921875,2924.3771875,10027.5065625,32
747,A49,5,,353.3314285714286,4139.4121428571425,3731.562857142857,12010.875357142857,28
763,A49,6,,532.5108333333333,4707.336944444444,4658.017222222222,13769.505694444444,72
801,A52,6,03.,548.81,4706.357894736842,3991.888684210526,13037.195526315789,38
837,A63,6,49.,528.33875,1781.9175,1442.53575,9781.902,40
872,A86,5,03.,394.382619047619,4047.3630952380954,2311.1364285714285,9939.700476190475,42
879,A86,6,,624.0695121951219,5368.216097560975,4197.009512195123,16351.181219512197,41
880,A86,6,03.,535.1680057803468,6665.820173410404,2909.1221098265896,14422.630809248554,346
901,A87,6,03.,454.58902097902103,5911.460839160839,2401.5523776223777,12221.531468531468,143
934,B00,6,03.,966.8430434782608,10020.050434782608,5871.29347826087,22707.953478260868,23
953,B01,6,,328.22846153846154,1787.9115384615386,913.52,5057.7292307692305,26
967,B02,3,,345.200243902439,1473.489268292683,1701.5185365853658,5234.937073170732,82
969,B02,3,04.,1336.2207142857142,1270.7004761904761,4160.379047619048,12489.30761904762,42
985,B02,5,,316.2032558139535,1716.061511627907,1437.3039534883721,5520.590930232558,86
987,B02,5,04.,1646.825,2229.4926666666665,1486.7875,9158.642333333333,60
1000,B02,6,,354.21684210526314,2748.560552631579,1515.4291052631581,7117.034157894736,380
1001,B02,6,03.,927.3961363636363,3175.9971363636364,1479.4611363636363,11206.587590909092,220
1002,B02,6,04.,1080.1491962174941,3506.5202127659577,1832.3469739952718,12681.076312056739,423
1003,B02,6,05.,401.5072727272727,2709.906818181818,1192.66,9914.210454545455,22
1006,B02,6,17.,332.3010344827586,2205.9689655172415,3215.8624137931038,9100.56724137931,29
1027,B02,6,93.,364.0212,1866.902,2464.5112,8731.2984,50
1028,B02,6,99.,342.41540229885055,2167.67816091954,1863.8963218390807,8076.654022988506,87
1043,B08,2,,308.73904761904765,464.7047619047619,1496.7919047619048,2809.5257142857145,21
1054,B08,6,,276.677,1093.0790000000002,847.365,3383.6050000000005,40
