,basy_zyzd_jbbm_for_str_3,basy_yydj,basy_ssjczbm1_for_str_3,HAOCAI-3-3-E,JCJY-3-3-E,YP-3-3-E,ZFY-3-3-E,记录条数-3-3
11,A02,3,,92.92583333333333,1574.295,1772.7854166666666,4712.779583333334,24
13,A02,5,,88.55615384615385,1068.0353846153846,599.8261538461538,2679.2353846153846,26
20,A02,6,,137.62439024390244,2400.354512195122,1196.6608536585366,4979.138048780488,82
39,A03,3,,73.93694214876034,748.5921487603305,681.5763636363637,2485.544214876033,121
46,A03,5,,59.196363636363635,1179.4969696969697,604.6812121212121,2702.3342424242423,33
61,A04,3,,86.73233333333333,890.812,567.4823333333334,2321.1818333333335,60
72,A04,5,,53.93991666666667,978.327,562.1093333333333,2214.5049999999997,120
79,A04,6,,95.61374301675978,1247.9715083798883,552.3237430167597,2707.7312290502796,179
94,A04,6,99.,175.4241379310345,1410.6837931034484,473.8410344827586,2997.826206896552,29
113,A08,2,,58.70520547945205,677.8275342465754,285.43,1533.297397260274,73
115,A08,2,99.,66.57571428571428,508.33035714285717,634.3303571428571,1756.142142857143,56
116,A08,3,,51.5318689788054,587.3719845857418,264.1877263969171,1443.921387283237,519
123,A08,4,,85.58999999999999,702.3333333333334,283.4745454545455,1889.2615151515151,33
124,A08,5,,51.56133868808568,614.6222222222223,290.2315394912985,1569.4397724230255,747
125,A08,5,17.,27.24695652173913,583.1739130434783,191.45782608695652,1434.1830434782607,23
134,A08,6,,68.1499604743083,828.6200592885375,294.03311264822133,1865.954634387352,1012
136,A08,6,17.,134.23379310344828,611.7431034482759,365.0653448275862,1951.9953448275862,58
138,A08,6,38.,344.34478260869565,2495.4834782608696,2037.9269565217394,8796.961739130435,23
142,A08,6,88.,79.45966666666666,1077.54,280.589,2184.4153333333334,30
143,A08,6,89.,104.66092307692308,1253.8004615384616,295.54338461538464,2566.2464615384615,65
144,A08,6,93.,103.99730769230769,1228.5380128205127,737.9977564102563,3137.871217948718,156
145,A08,6,99.,98.05366666666667,1096.6653333333334,286.914,2443.3866666666668,30
146,A09,1,,61.012317596566525,890.7150214592275,1468.0062660944207,3466.747725321888,233
156,A09,2,,46.01856401384083,1032.809186851211,900.155553633218,2505.5803806228373,578
160,A09,2,45.,58.030454545454546,1356.3045454545454,1071.9886363636363,3157.636818181818,22
168,A09,3,,51.83318544366899,867.9008374875374,572.1511415752741,2118.442362911266,2006
169,A09,3,17.,37.69936170212766,660.8617021276596,495.3802127659574,2012.060425531915,47
173,A09,3,44.,44.175625000000004,1652.3953125,1006.2684375,3685.738125,64
174,A09,3,45.,243.19149425287355,1634.4873563218391,1139.9313793103447,4031.7737931034485,87
