,basy_yydj,医院类型,耗材费
0,1,中医,3069.1359415584416
1,1,其他,2570.5952626931567
2,1,妇幼,417.523125
3,1,肿瘤,4944.188768233387
4,1,骨科,5992.748695893452
5,2,中医,3393.6206565656566
6,2,其他,2036.176821665375
7,2,妇幼,440.7450928381963
8,2,肿瘤,1012.8663725490196
9,2,骨科,6368.132479674798
10,3,中医,1526.332143864598
11,3,其他,1986.5088412063174
12,3,妇幼,556.7501355107713
13,3,肿瘤,2257.0922388059703
14,3,骨科,5720.141530909091
15,4,中医,2317.1478492647057
16,4,其他,2620.8503017093035
17,4,肿瘤,2372.3958724832214
18,5,中医,2066.696968030064
19,5,其他,2515.79399921936
20,5,口腔,383.9370588235294
21,5,妇幼,734.8196869111465
22,5,骨科,1797.4212011173186
23,6,中医,2891.083757964905
24,6,其他,4351.260746537017
25,6,口腔,6244.503309265945
26,6,妇幼,1224.3998506910168
27,6,肿瘤,5229.291313910862
28,6,骨科,5722.416840932117
29,7,中医,1735.8713157894738
30,7,其他,1699.0351364653245
31,7,妇幼,906.6284126984127
32,7,骨科,4998.4790466101695
