,basy_zyzd_jbbm_for_str_3,basy_yydj,basy_ssjczbm1_for_str_3,HAOCAI-3-3-E,JCJY-3-3-E,YP-3-3-E,ZFY-3-3-E,记录条数-3-3
72,A09,6,,336.8032075471698,2897.9394339622645,1691.993396226415,6574.3479245283015,53
80,A09,6,45.,388.935,3365.1614285714286,1578.5175,7240.428214285714,28
103,A15,5,,366.1987234042553,3350.7412765957447,2483.046595744681,9516.34340425532,47
106,A15,5,33.,503.8830508474576,3694.982881355932,1884.919661016949,9274.036440677966,59
115,A15,6,,423.0092261904762,5403.660714285715,3992.9465476190476,13034.569702380952,168
122,A15,6,32.,16706.494310344828,7521.14948275862,6312.591034482758,40992.520344827586,58
123,A15,6,33.,587.7581891891892,6081.532243243244,2692.413918918919,12954.895432432431,370
124,A15,6,34.,1167.799081632653,6256.091836734694,3827.154081632653,16147.848775510203,98
146,A16,3,,399.1832142857143,5444.032142857142,1158.6632142857143,11283.463214285714,28
147,A16,3,33.,604.7792307692308,1875.0653846153846,1014.3257692307693,5639.362692307692,26
148,A16,3,34.,398.3313043478261,2115.171304347826,1431.6791304347828,6534.273043478261,23
159,A16,5,,470.9327659574468,5255.653191489362,3245.37085106383,13436.488085106383,47
162,A16,5,33.,536.1952459016394,3999.6031147540984,1831.5831147540982,9522.497049180329,61
163,A16,5,34.,561.9374468085107,3614.043829787234,1809.304255319149,9019.963191489362,47
169,A16,6,,427.56039215686275,5067.339934640523,3583.3824183006536,11679.166209150326,153
174,A16,6,32.,13669.578235294117,7480.700882352941,6555.522647058823,37168.94735294118,34
175,A16,6,33.,553.152311827957,6024.911989247311,2667.850188172043,12255.657956989247,372
176,A16,6,34.,1045.2203703703703,5946.194675925926,2857.180462962963,13897.088472222222,216
206,A17,6,03.,1141.7832786885247,13373.271803278687,9647.00262295082,32916.13573770492,61
244,A18,6,,514.4186666666667,5768.065,4825.368,18028.784,30
254,A18,6,40.,1492.4196153846156,4417.836923076923,1557.7826923076923,11858.091346153846,52
259,A18,6,54.,1618.068717948718,8236.19846153846,4799.745128205128,20491.196410256412,39
269,A18,6,80.,10781.921153846155,6732.602692307692,4948.598846153846,33690.30961538462,26
270,A18,6,81.,10400.06575,9587.656500000001,8000.1535,45918.8045,40
355,A41,1,,715.126923076923,1491.3115384615385,1816.7473076923077,8554.514230769231,26
373,A41,3,,401.32081967213117,4323.925737704918,4631.734918032787,13418.529344262295,61
392,A41,3,96.,1997.0773333333334,10478.693333333333,9909.484999999999,40533.544,30
394,A41,4,,646.8306666666667,6239.149333333333,7130.950444444445,19349.25022222222,45
416,A41,4,96.,2213.942926829268,14853.140487804878,21797.27951219512,60236.92951219512,41
418,A41,5,,395.22642424242423,4367.223515151515,2831.8331515151517,11186.57103030303,165
424,A41,5,38.,1064.0855,7484.360333333333,6639.762333333333,26829.288,60
440,A41,5,57.,827.7852173913044,6792.243913043478,3655.38,16169.536521739128,23
442,A41,5,59.,1712.4508695652175,5207.446956521739,2232.999565217391,12679.68,23
450,A41,5,93.,685.6580851063829,5232.00744680851,3366.817021276596,14258.26829787234,47
451,A41,5,96.,2467.6810416666667,10794.572083333334,10820.108541666668,36364.40659722222,144
452,A41,5,99.,586.8985714285715,5910.165238095238,3779.098571428571,16565.324285714287,21
453,A41,6,,558.2585243741765,5964.831251646904,4721.77814229249,16016.548260869566,759
456,A41,6,03.,738.0894444444444,7843.149259259259,4408.370925925926,17968.226296296296,54
460,A41,6,17.,663.2868181818181,4869.241590909091,3896.645,13455.254772727272,44
466,A41,6,33.,884.3055319148937,10566.13164893617,6444.752659574468,26593.05569148936,188
467,A41,6,34.,1830.6936764705881,12096.175000000001,12399.227794117647,36425.400294117644,68
469,A41,6,38.,1874.7148042704625,11618.10024911032,9714.987758007117,33347.99960854093,281
470,A41,6,39.,8455.246907216495,12596.260103092784,11537.065773195874,50203.531030927836,97
472,A41,6,41.,999.8202777777777,12209.608333333334,9357.952222222222,29827.02277777778,36
475,A41,6,44.,3593.5596,15540.1652,13799.0296,50737.4508,25
476,A41,6,45.,6191.949666666667,13979.469333333334,15596.466333333334,55590.74399999999,30
482,A41,6,51.,5513.46303030303,13286.633333333333,10798.362121212122,43999.93151515152,33
485,A41,6,54.,3119.3032432432433,10656.082162162162,11409.042432432432,37282.913243243245,37
486,A41,6,55.,3313.7676,9259.4004,5215.0164,24971.1888,25
488,A41,6,57.,1239.7084615384615,8983.375128205129,6070.111794871796,22925.651025641026,39
489,A41,6,59.,2093.2914,7148.8706,3942.2776,18839.7102,50
507,A41,6,89.,630.1127419354839,7678.826774193549,4861.166612903226,18204.97870967742,62
509,A41,6,93.,1065.401069364162,8932.731647398843,6420.651069364162,23414.101242774566,346
510,A41,6,96.,5938.213153153153,21010.167297297296,22288.75911711712,75197.78544144145,555
513,A41,6,99.,705.2384615384616,6319.036634615385,5107.738653846153,18278.85721153846,104
586,A49,6,,520.8237209302325,4405.168372093023,3825.1813953488368,12651.12418604651,43
634,A63,6,49.,499.3875862068966,1546.889655172414,2510.343793103448,10907.138965517242,29
659,A86,6,03.,692.4507462686566,6482.3709701492535,3009.0587313432834,14676.90447761194,134
678,A87,6,03.,456.35076923076923,5506.736923076923,2360.190769230769,11037.321282051284,39
708,B02,3,,298.1952173913043,1255.9130434782608,2124.9621739130434,5211.609565217392,23
721,B02,5,,344.84186046511627,1829.7906976744187,1372.9744186046512,5120.456046511627,43
723,B02,5,04.,1437.1357142857144,1974.725142857143,804.3074285714287,7015.5682857142865,35
734,B02,6,,352.70214285714286,2367.7238095238095,1689.1163492063492,6501.800476190476,126
735,B02,6,03.,1335.4069523809526,2889.2889523809527,1456.7814285714285,11174.506666666666,105
736,B02,6,04.,1847.0531379310346,3045.257,1454.807448275862,10969.095827586207,290
758,B02,6,93.,343.24545454545455,1661.9818181818182,1748.2627272727273,7912.826363636364,22
761,B02,6,99.,338.67352941176466,1768.178431372549,2420.263725490196,8506.501960784313,51
762,B02,7,,283.7885185185185,771.6918518518519,846.2903703703704,3120.436666666667,27
782,B08,6,,245.28181818181818,1168.07,562.685,2995.5581818181818,22
807,B18,6,,303.15935064935064,3445.3571428571427,4048.958961038961,9890.773506493508,77
819,B18,6,50.,9332.323125,8153.889375000001,6760.5190625000005,41941.1459375,32
834,B20,6,,474.2606756756757,6994.916081081081,8190.971216216216,19660.945945945947,74
837,B20,6,33.,471.673,9516.293666666666,10914.387333333334,25544.657333333333,30
864,B22,6,,580.8540909090909,8911.386363636364,9586.357727272727,23848.036363636365,22
916,B27,6,,343.7493548387097,1563.1064516129034,1162.5662903225807,4567.65,62
